Title,Location,Remote,Company,Salary,Rating,Summary
Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,"Experience in at least one data visualization tool (Tableau, Qlikview).Bringing data to life and making it actionable and relevant to stakeholders through…"
Sr. Data Scientist,"Chennai, Tamil Nadu",,PayPal,,3.9,"Lead complex, multifunctional data science projects.Have a passion for working on big data and professional experience in data mining, statistical analysis,…"
Data Science intern,"Mumbai, Maharashtra",,Caltyger,"₹2,00,000 - ₹5,00,000 a year",,"Analyzing business requirements and crafting proposals of data and information structures.Improving data collection procedures, performing various ad-hoc…"
Data Science Trainer,"Pune, Maharashtra",Remote work available,Top Mentor,"₹25,000 - ₹50,000 a year",,"Looking for data science mentor who will be training students for machine learning, statistics, visualization, analytics fully remotely (work from home.)."
Data Science Trainer,"Ameerpet, Hyderabad, Telangana",Remote work available,Naresh I Technologies,"₹3,00,000 - ₹5,00,000 a year",3.8,"Should have a strong knowledge on R Programming, Machine Learning, Deep Learning, Python etc.Understanding and assessing individual (or) group training…"
Data Scientist - Trainer,"Thiruvananthapuram, Kerala",,ACUWIN INNOVATIONS Pvt Ltd.,"₹15,000 - ₹25,000 a month",2.0,Highly proficient in SQL with ability to write efficient queries and taking data from multiple data-sets as and when required.Experience* - (6 months - 2 yrs).
Senior Data Scientist,"Bengaluru, Karnataka",Remote work available,Rentpay,"₹14,00,000 - ₹18,00,000 a year",,"As a result, we are looking for an independent and talented data scientist that can work remotely to build new data models and test new technologies."
Data Science and Machine Learning Trainer,Remote,,Ambrapali Electrotech Private Limited,"₹30,000 - ₹50,000 a year",,"We are looking for an organized and experienced Data Science and Machine Learning trainer to join our organization..Salary: ₹30,000.00 to ₹50,000.00 /year."
Centralized Monitor,"Thane, Maharashtra",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Data Scientist,"Noida, Uttar Pradesh",,SearchUrCollege,,,Travel and engage clients directly to translate their business needs into implementable science.Knowledge of data visualization tools like Tableau/Power Bi etc…
Data Science Intern,"Navi Mumbai, Maharashtra",,Sankhkyiki Robotics,,,"Skill(s) required: data science, big data, analytics, statistics.Work on different exercises on data science and machine learning algorithms."
Data Scientist,Andhra Pradesh,,Franklin Templeton Investments,,4.0,Proven experience in telling stories using data.Ability to handle large datasets for building Statistical/Machine learning models which includes hands on…
Electrochemist,"Mumbai, Maharashtra",,"BreathX Technologies Inc, ( Canary Health Technologies)","₹45,000 - ₹55,000 a month",,"\* Design, carry out experiments and data analysis , and present findings with little.This person would be responsible for participating in a laboratory…"
Data Lake Developer,"Bengaluru, Karnataka",,Mylan,"₹15,00,000 - ₹23,00,000 a year",,"Accountabilities include the development of Azure data platforms that can support the data analytics requirements of the company’s business community, data…"
Software Engineer,"Bengaluru, Karnataka",,PayPal,,3.9,To achieve this we are always looking at advances in technology and science and tying those back to business needs.Participate in code and design reviews.
Data Scientist,"Chennai, Tamil Nadu",,Applied Materials Inc.,,3.9,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment."
